Last Date Sold,Latitude,Longitude,Zip,Price,Price Per Sq. Ft.,Footage,Lot Area,Beds,Baths,Address,Listing URL,Short Address,City,State,Raw Property Details,Date Scraped,Broker Name,Status,Type,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Most Recent Date Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Broker Phone,Listed By,Lister Phone,Agent Name,Agent Phone,Agent Email,Co-Agent Name,Co-Agent Phone,Buyer Agent Fee,Association Name,Association Fee,Monthly HOA Fees,Year Built,Stories,Heating,Cooling,Fireplaces,Flooring,Foundation,Garage Capacity,Sewer,Subdivision,Zoning Desc.,Property Condition,Roof Type,Virtual Tour,MLS Source,Parcel Id,Favorite Count,Page Views,Tax Paid (Most Recent),Has Private Pool,Pool Features
06/11/2021,40.307198,-74.60857,8550,725000,226,3206,84506.4,7,2,"28 N Mill Rd, West Windsor, NJ 08550",https://www.zillow.com/homedetails/28-N-Mill-Rd-West-Windsor-NJ-08550/39036980_zpid/,,,,7 bds | 2 ba | 3206 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$2,317 ",363500,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2021,40.550816,-74.35753,8840,714900,294,2432,21370.54,4,4,"217 Christol St, Metuchen, NJ 08840",https://www.zillow.com/homedetails/217-Christol-St-Metuchen-NJ-08840/39089244_zpid/,,,,4 bds | 4 ba | 2432 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,899 ",695000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2021,40.552067,-74.32747,8840,440000,258,1708,43603.56,4,3,"45 Jefferson St, Metuchen, NJ 08840",https://www.zillow.com/homedetails/45-Jefferson-St-Metuchen-NJ-08840/39195285_zpid/,,,,4 bds | 3 ba | 1708 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$3,800 ",955000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2021,40.352753,-74.58321,8536,705000,282,2500,14810.4,4,3,"37 Parker Rd, Plainsboro, NJ 08536",https://www.zillow.com/homedetails/37-Parker-Rd-Plainsboro-NJ-08536/39152343_zpid/,,,,4 bds | 3 ba | 2500 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$4,931 ",525000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2021,40.330044,-74.61361,8536,770000,296,2600,27878.4,4,3,"1 Birch Dr, Plainsboro, NJ 08536",https://www.zillow.com/homedetails/1-Birch-Dr-Plainsboro-NJ-08536/55551928_zpid/,,,,4 bds | 3 ba | 2600 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,837 ",252000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2021,40.294735,-74.6326,8550,760000,227,3354,22651.2,5,3,"33 Lorrie Ln, Princeton Junction, NJ 08550",https://www.zillow.com/homedetails/33-Lorrie-Ln-Princeton-Junction-NJ-08550/39036424_zpid/,,,,5 bds | 3 ba | 3354 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,633 ",165000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/15/2021,40.380814,-74.54951,8852,578000,307,1882,32670,4,3,"36 Hillside Ave, Monmouth Junction, NJ 08852",https://www.zillow.com/homedetails/36-Hillside-Ave-Monmouth-Junction-NJ-08852/39170611_zpid/,,,,4 bds | 3 ba | 1882 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$4,400 ",476000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/15/2021,40.331593,-74.55,8536,750000,307,2446,54014.4,4,3,"89 Bradford Ln, Plainsboro, NJ 08536",https://www.zillow.com/homedetails/89-Bradford-Ln-Plainsboro-NJ-08536/39153421_zpid/,,,,4 bds | 3 ba | 2446 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,337 ",85817,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/15/2021,40.299007,-74.61534,8550,552500,276,2000,11665.37,4,3,"1 Hathaway Dr, West Windsor, NJ 08550",https://www.zillow.com/homedetails/1-Hathaway-Dr-West-Windsor-NJ-08550/39036663_zpid/,,,,4 bds | 3 ba | 2000 sqft,"Sun, 6/2/24",Weichert Realtors-Princeton Junction,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$4,184 ",281000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/15/2021,40.287945,-74.58809,8550,788000,261,3016,11151.36,4,3,"29 Priory Rd, West Windsor, NJ 08550",https://www.zillow.com/homedetails/29-Priory-Rd-West-Windsor-NJ-08550/39038122_zpid/,,,,4 bds | 3 ba | 3016 sqft,"Sun, 6/2/24",BHHS Fox & Roach - Princeton,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,434 ",485000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
